regime,budget,candidate_coverage,validation_E2E_corrected,validation_quality_observed,hidden_E2E_lower_bound
Flexible iterative,2,0.3479166666666666,0.1640754869981386,0.4715942141263864,0.0957198154494852
Flexible iterative,4,0.9416666666666668,0.6391550290991376,0.6787487034681107,0.4472251539448383
Flexible iterative,6,0.975,0.7164780728119151,0.7348493054481181,0.6412424652659862
Flexible iterative,8,0.9791666666666666,0.7369421166989911,0.752621736203225,0.754231160127176
Call-matched restarts,2,0.9666666666666668,0.5942188204096346,0.6147091245616909,0.2515015381413394
Call-matched restarts,4,0.9791666666666666,0.6552817975232561,0.6692239634280062,0.4119987603126487
Call-matched restarts,6,0.98125,0.6911420790916767,0.7043486156348298,0.5600319272325956
Call-matched restarts,8,0.98125,0.7032623662437796,0.7167005006306034,0.6862574404032921
Unstructured agent,2,0.93125,0.5588727722706105,0.6001318359952864,0.2431838452084306
Unstructured agent,4,0.9916666666666668,0.719609876737509,0.7256570185588326,0.4463494385966905
Unstructured agent,6,1.0,0.7579790813629249,0.7579790813629249,0.5191447678964692
Unstructured agent,8,1.0,0.760021314089607,0.760021314089607,0.5270012213550777
