budget,comparison,metric,N_pairs,delta,ci_lo,ci_hi,wilcoxon_p
2,Flexible - Call-matched restarts,validation_e2e_episode,480,-0.43014333341149535,-0.46614301531498126,-0.39381221464153116,4.370753049162642e-59
2,Flexible - Call-matched restarts,hidden_e2e_lb_episode,480,-0.15578172269185417,-0.19604032670452776,-0.11516847811747015,8.639679663815262e-12
2,Flexible - Unstructured agent,validation_e2e_episode,480,-0.39479728527247177,-0.43489241297496606,-0.3541494041518681,4.77773470828954e-49
2,Flexible - Unstructured agent,hidden_e2e_lb_episode,480,-0.1474640297589454,-0.1887111429049873,-0.10600390406832795,1.4823390767398832e-10
4,Flexible - Call-matched restarts,validation_e2e_episode,480,-0.01612676842411866,-0.050452878280612956,0.018779911204456948,0.008746167852280235
4,Flexible - Call-matched restarts,hidden_e2e_lb_episode,480,0.03522639363218961,-0.015247536648006101,0.08648420206412488,0.17337361242444105
4,Flexible - Unstructured agent,validation_e2e_episode,480,-0.08045484763837225,-0.11311382254367908,-0.047637250683092956,3.601314602342066e-12
4,Flexible - Unstructured agent,hidden_e2e_lb_episode,480,0.0008757153481477801,-0.05212702091323338,0.05303100335275218,0.6782921028310483
6,Flexible - Call-matched restarts,validation_e2e_episode,480,0.0253359937202383,-0.004492965989214823,0.05559272846769044,0.8346486372291606
6,Flexible - Call-matched restarts,hidden_e2e_lb_episode,480,0.08121053803339041,0.03780447296031409,0.12430019011282323,0.0031364047394394955
6,Flexible - Unstructured agent,validation_e2e_episode,480,-0.041501008551010486,-0.06729956763719587,-0.015703877483318668,5.323148633092315e-08
6,Flexible - Unstructured agent,hidden_e2e_lb_episode,480,0.12209769736951684,0.07591921717705719,0.16803275017316247,5.445137325401481e-05
8,Flexible - Call-matched restarts,validation_e2e_episode,480,0.03367975045521152,0.005218484091171379,0.062212688474686494,0.8399190722399974
8,Flexible - Call-matched restarts,hidden_e2e_lb_episode,480,0.06797371972388386,0.03788319806517139,0.09843331995567496,0.010697836192398575
8,Flexible - Unstructured agent,validation_e2e_episode,480,-0.02307919739061585,-0.04778174398643082,0.0015411705544934118,5.770635132135429e-05
8,Flexible - Unstructured agent,hidden_e2e_lb_episode,480,0.2272299387720983,0.18680022767216004,0.2681259860085525,6.199160004733338e-16
