regime,budget,N,candidate_coverage,candidate_coverage_ci_lo,candidate_coverage_ci_hi,validation_E2E,validation_E2E_ci_lo,validation_E2E_ci_hi,validation_Obs_Q,validation_Obs_Q_ci_lo,validation_Obs_Q_ci_hi,final_candidate_available,final_candidate_available_ci_lo,final_candidate_available_ci_hi,hidden_E2E_lower_bound,hidden_E2E_lb_ci_lo,hidden_E2E_lb_ci_hi,hidden_Obs_Q_conditional,hidden_Obs_Q_cond_ci_lo,hidden_Obs_Q_cond_ci_hi,prefix_PV_lower_bound,prefix_PV_lb_ci_lo,prefix_PV_lb_ci_hi,final_candidate_share_given_any
Flexible iterative,2,480,0.34791666666666665,0.30666594838700234,0.3915823159187113,0.16407548699813881,0.13703348745989105,0.1921497251984083,0.47159421412638713,0.4186914211849411,0.5252923546551137,0.13541666666666666,0.10768567661253628,0.1689368748052705,0.09571981544948524,0.07230323904956529,0.12031942940346838,0.7178986158711393,0.6376793900017395,0.7924482986448704,0.13333333333333333,0.10581541761313282,0.1666735483842043,0.38922155688622756
Flexible iterative,4,480,0.9416666666666667,0.9169841856597504,0.9593359234798208,0.6391550290991371,0.6095899217154558,0.6681760089765829,0.6787487034681101,0.6512467231616248,0.7057571596954098,0.5895833333333333,0.5450352893799529,0.6327088837002431,0.4472251539448383,0.4091229798861477,0.48576772888282177,0.7694196196900445,0.7380215637016493,0.7999817884190132,0.58125,0.5366404094909535,0.624569421907364,0.6261061946902655
Flexible iterative,6,480,0.975,0.9568152821429874,0.9856421937240984,0.7164780728119147,0.6904468410592828,0.7414813543397067,0.7348493054481176,0.7108549463388226,0.758597444299642,0.8375,0.8018401771254301,0.8678006609906573,0.6412424652659862,0.607321119023388,0.6739710725386957,0.7753057514550965,0.7500068895170091,0.7998688397710648,0.8270833333333333,0.7906896643792217,0.8582832466345173,0.858974358974359
Flexible iterative,8,480,0.9791666666666666,0.9620795037783362,0.9886451429296891,0.7369421166989911,0.7121963631881865,0.760617082215245,0.752621736203225,0.7299331818626756,0.7754609074453013,0.9791666666666666,0.9620795037783362,0.9886451429296891,0.7542311601271761,0.7285110506945668,0.7787688020126701,0.7785611975506332,0.7554208125015965,0.8009377235479668,0.96875,0.9490845040848153,0.9809722155208618,1.0
Call-matched restarts,2,480,0.9666666666666667,0.9465434043824487,0.9793797298027586,0.5942188204096343,0.5648394175775555,0.6234989205840357,0.6147091245616906,0.5858798596336117,0.6431757393515711,0.3770833333333333,0.3348634760314729,0.42125498416081625,0.2515015381413394,0.21811252229390535,0.2854552403628683,0.6782063949878815,0.6332507168099477,0.7208162047647225,0.37083333333333335,0.32880698049658874,0.41491072343429136,0.3900862068965517
Call-matched restarts,4,480,0.9791666666666666,0.9620795037783362,0.9886451429296891,0.6552817975232557,0.6278069022909426,0.6825409389891695,0.6692239634280058,0.6427469702695502,0.6954637665654831,0.60625,0.5618638412093842,0.6489490152345692,0.4119987603126487,0.3756060059146965,0.448927364392897,0.6938926489476188,0.6599040528390588,0.7272481846497589,0.59375,0.5492375552275738,0.6367737886935617,0.6191489361702127
Call-matched restarts,6,480,0.98125,0.9647534097017175,0.9901048224267773,0.6911420790916765,0.6649163340261408,0.7168760597950453,0.7043486156348295,0.6795723025539685,0.7287599712541591,0.8083333333333333,0.7707276225517513,0.8410430196777606,0.5600319272325956,0.5253686649760367,0.5944961495463116,0.7074087501885419,0.6787887459980835,0.7357021036795448,0.7916666666666666,0.7530904167971112,0.8256115420686433,0.8237791932059448
Call-matched restarts,8,480,0.98125,0.9647534097017175,0.9901048224267773,0.7032623662437796,0.6774168817056553,0.7284111722657411,0.7167005006306034,0.6923056847214342,0.7407422036993557,0.98125,0.9647534097017175,0.9901048224267773,0.6862574404032921,0.6583886118525455,0.7135126322166984,0.7160947204208266,0.690055688374501,0.7409096339412653,0.9583333333333334,0.9365210511420765,0.9728677413612521,1.0
Unstructured agent,2,480,0.93125,0.9050217673867105,0.9506304146505125,0.5588727722706106,0.526179968786087,0.5916366453024623,0.6001318359952865,0.5683844161634691,0.6319202074196547,0.4375,0.3937909323970712,0.4822015049888385,0.24318384520843067,0.2093081587764741,0.2774161200749921,0.7031822030123297,0.6560837225173023,0.7485566816932621,0.3458333333333333,0.30465837694439113,0.3894563019408529,0.4697986577181208
Unstructured agent,4,480,0.9916666666666667,0.9787714651798853,0.9967546940509582,0.7196098767375093,0.6927020628438698,0.7454586378108962,0.7256570185588329,0.6998091197634648,0.7510183479522428,0.8041666666666667,0.7663093153576077,0.837194156030965,0.44634943859669046,0.40730368403199735,0.48520411838993277,0.7543934173465191,0.7211419326495733,0.7869488717516561,0.5916666666666667,0.5471360186149178,0.6347417398857479,0.8109243697478992
Unstructured agent,6,480,1.0,0.9920605009127221,1.0,0.7579790813629252,0.7338798026368742,0.781315089721168,0.7579790813629252,0.7338798026368742,0.781315089721168,0.975,0.9568152821429874,0.9856421937240984,0.5191447678964692,0.4814484724886179,0.5568916262382422,0.7597240505801989,0.7305358868353775,0.7889454180427001,0.6833333333333333,0.6404032110778919,0.7233523059234395,0.975
Unstructured agent,8,480,1.0,0.9920605009127221,1.0,0.760021314089607,0.7362167984303435,0.7832107056260458,0.760021314089607,0.7362167984303435,0.7832107056260458,1.0,0.9920605009127221,1.0,0.5270012213550775,0.4891564777167334,0.564632522500496,0.7619294766579435,0.7325649931242489,0.790546840555161,0.6916666666666667,0.6489681866866893,0.7313216719965209,1.0
