Profile,Weights (performance / plan / code),E2E,Δ E2E vs. default (95% CI),Fixed E2E,Fixed Δ E2E vs. default (95% CI),Flexible E2E,Flexible Δ E2E vs. default (95% CI)
default,0.55 / 0.15 / 0.30,0.521,0,0.576,0,0.606,0
equal,1/3 / 1/3 / 1/3,0.525,"+0.005 [-0.046, 0.055]",0.632,"+0.056 [-0.036, 0.159]",0.617,"+0.010 [-0.086, 0.119]"
code_dominant,0.15 / 0.15 / 0.70,0.512,"-0.009 [-0.063, 0.045]",0.617,"+0.042 [-0.078, 0.167]",0.614,"+0.008 [-0.086, 0.110]"
performance_dominant,0.70 / 0.15 / 0.15,0.502,"-0.018 [-0.070, 0.033]",0.538,"-0.038 [-0.165, 0.092]",0.635,"+0.029 [-0.057, 0.128]"
plan_dominant,0.15 / 0.70 / 0.15,0.517,"-0.003 [-0.052, 0.046]",0.618,"+0.043 [-0.064, 0.151]",0.644,"+0.037 [-0.073, 0.150]"
low_code,0.60 / 0.30 / 0.10,0.505,"-0.015 [-0.067, 0.037]",0.585,"+0.009 [-0.113, 0.134]",0.607,"+0.001 [-0.109, 0.118]"
low_performance,0.10 / 0.30 / 0.60,0.496,"-0.024 [-0.075, 0.026]",0.576,"+0.000 [-0.122, 0.117]",0.579,"-0.027 [-0.140, 0.089]"
low_plan,0.45 / 0.10 / 0.45,0.55,"+0.029 [-0.017, 0.075]",0.66,"+0.084 [-0.008, 0.184]",0.627,"+0.021 [-0.087, 0.132]"
code_solo,0 / 0 / 1,0.521,"+0.001 [-0.056, 0.058]",0.619,"+0.043 [-0.092, 0.178]",0.617,"+0.011 [-0.095, 0.125]"
performance_solo,1 / 0 / 0,0.531,"+0.011 [-0.041, 0.062]",0.649,"+0.073 [-0.029, 0.179]",0.651,"+0.045 [-0.047, 0.157]"
plan_solo,0 / 1 / 0,0.497,"-0.024 [-0.076, 0.028]",0.658,"+0.082 [0.002, 0.179]",0.602,"-0.004 [-0.088, 0.088]"
without_code,0.50 / 0.50 / 0,0.517,"-0.004 [-0.051, 0.043]",0.655,"+0.079 [0.001, 0.163]",0.656,"+0.050 [-0.049, 0.156]"
without_performance,0 / 0.50 / 0.50,0.529,"+0.008 [-0.044, 0.061]",0.648,"+0.073 [-0.015, 0.169]",0.674,"+0.068 [-0.012, 0.165]"
without_plan,0.50 / 0 / 0.50,0.509,"-0.012 [-0.062, 0.038]",0.612,"+0.037 [-0.040, 0.113]",0.559,"-0.048 [-0.158, 0.067]"
swap_performance_code,0.30 / 0.15 / 0.55,0.525,"+0.005 [-0.039, 0.049]",0.648,"+0.072 [-0.018, 0.169]",0.596,"-0.010 [-0.092, 0.077]"
