profile,w_performance,w_plan,w_code,N_trajectories,N_tasks,mean_task_spearman,median_task_spearman,task_bootstrap_ci_low,task_bootstrap_ci_high,positive_tasks,negative_tasks,min_task_spearman,max_task_spearman
default,0.55,0.15,0.3,3360,10,0.1764613789982596,0.1219612292704444,0.0699360552677896,0.3010566342169505,9,1,-0.02114057320180516,0.5873253602292866
equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,3360,10,0.15038528836391005,0.09429793195896782,0.04801828961517493,0.2710932287725458,8,2,-0.022926694204605375,0.5386296528511444
performance_dominant,0.7,0.15,0.15,3360,10,0.2183921122833365,0.20754889017912173,0.10566759425165136,0.3496871322411581,9,1,-0.021967315149777497,0.6506880166443695
plan_dominant,0.15,0.7,0.15,3360,10,0.13180586771130773,0.032599071680689234,0.02767824092232014,0.2637973949975315,9,1,-0.03283130837469358,0.5887586596810171
code_dominant,0.15,0.15,0.7,3360,10,0.08777816548138231,0.031473740710274735,0.0034957554281719893,0.18850386679168032,6,4,-0.05738699211640722,0.41076143219788497
low_performance,0.1,0.3,0.6,3360,10,0.09782302048674105,0.03763536906930311,0.008380257002300474,0.20492499920660984,6,4,-0.048905338966240434,0.4273891246035083
low_plan,0.45,0.1,0.45,3360,10,0.16414605282203992,0.11674265700713164,0.06542181790182534,0.2790666968666757,9,1,-0.023016264137831827,0.519293693110266
low_code,0.6,0.3,0.1,3360,10,0.18984837034559005,0.12920174445730592,0.07512406888172403,0.32727257514339025,9,1,-0.018398913174492465,0.6561248050192848
performance_solo,1.0,0.0,0.0,3360,10,0.23897785814960332,0.2304577698923122,0.12951460182279084,0.36341882745049175,9,1,-0.025292771992468207,0.6448549546895841
plan_solo,0.0,1.0,0.0,3360,10,0.12102440141758701,0.05244931748012978,0.020521077033477435,0.24463973224867908,8,2,-0.07812504425366552,0.5298807971885402
code_solo,0.0,0.0,1.0,3360,10,0.04958301900771435,0.028246616710644913,-0.01638856138341773,0.14030046395858367,6,4,-0.06394871955310422,0.4023569403351602
without_performance,0.0,0.5,0.5,3360,10,0.090997434996183,0.03792023666186707,0.0037221239202679586,0.19545855273261314,6,4,-0.06190418399340091,0.4131897152960886
without_plan,0.5,0.0,0.5,3360,10,0.15961565574250053,0.12002721335388063,0.0622712366395739,0.2691636072011714,8,2,-0.02665514100119632,0.48127997835300507
without_code,0.5,0.5,0.0,3360,10,0.19180063964412794,0.13921610247505192,0.07726733752105182,0.3288119820525169,9,1,-0.02005595554907769,0.6627955912289167
swap_performance_code,0.3,0.15,0.55,3360,10,0.1344626340783576,0.07785744420044213,0.040572691020491526,0.24373134488571427,7,3,-0.03164009742325976,0.4590628654146871
