model,task_id,regime,temperature,n_episodes,n_observed,observed_over_episodes,success_rate,n_raw_observed,raw_observed_over_episodes,raw_success_rate,n_protocol_valid,n_protocol_invalid,protocol_valid_rate,n_no_hidden_metric,n_execution_failures,n_agent_violations,forbidden_action_attempt_rate,n_forbidden_action_attempts,early_stop_redirect_rate,n_early_stop_redirects,candidate_first_redirect_rate,n_candidate_first_redirects,masked_ablation_redirect_rate,n_masked_ablation_redirects,mean_model_actions,mean_validated_candidates,mean_distinct_model_families,mean_candidate_diversity_score,stopped_early_rate,median_hidden_test,mean_hidden_test,std_hidden_test,median_task_normalized_hidden_test,mean_task_normalized_hidden_test,std_task_normalized_hidden_test,mean_final_reward,mean_final_reward_all,mean_final_reward_protocol_valid,mean_final_reward_successful,mean_final_reward_failed,reward_success_gap,mean_llm_calls,mean_llm_calls_all,mean_total_tokens_all,mean_total_tokens_protocol_valid,mean_input_tokens_all,mean_output_tokens_all
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5.0,2.0,1.0,0.0,-0.5100063063878995,-0.5043048556238747,0.04703159659274507,0.38456129745546386,0.43830810479398025,0.44336051743935906,0.7472710016420363,0.7472710016420363,0.7472710016420363,0.7472710016420363,,,8.0,8.0,48577.25,48577.25,42922.0,5655.25
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,6.5,5.75,2.0,1.0,0.0,-0.4975697732765344,-0.4932323784223591,0.034663588123244785,0.5017988176517718,0.5426868539125396,0.3267689697992799,0.6511211088129183,0.6511211088129183,0.6511211088129183,0.6511211088129183,,,8.0,8.0,50754.0,50754.0,42465.75,8288.25
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,7.75,6.0,2.0,1.0,0.0,-0.5002367858982844,-0.506764332038017,0.0373281725779801,0.4766572493942573,0.4151229523730168,0.351887648053859,0.8695493343889281,0.8695493343889281,0.8695493343889281,0.8695493343889281,,,8.0,8.0,48373.5,48373.5,43604.25,4769.25
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0.7,4,3,3/4,0.75,4,4/4,1.0,3,1,0.75,0,1,1,0.0,0,0.0,0,0.0,0,0.0,0,7.0,6.0,2.0,1.0,0.0,-0.4757832630797657,-0.48448367727341163,0.03663954246817137,0.7071773107035524,0.6251596796153776,0.3453960248913951,0.6652478614434281,0.5959191473140981,0.6652478614434281,0.6652478614434281,0.3879330049261084,0.2773148565173197,8.0,8.0,49815.0,50555.0,43843.25,5971.75
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,6.25,2.0,1.0,0.25,-0.4975697732765344,-0.49197517941645696,0.03655941170296769,0.5017988176517718,0.5545382993696776,0.3446406429758895,0.8726166725310815,0.8726166725310815,0.8726166725310815,0.8726166725310815,,,7.75,7.75,44535.5,44535.5,39965.5,4570.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,1,0,0.0,0,0.0,0,0.75,3,0.0,0,5.5,5.25,2.0,1.0,0.25,-0.48616687174848466,-0.4923851383041672,0.046623295827651214,0.6092924323288046,0.5506736722306507,0.4395115211985889,0.8116154556650246,0.8116154556650246,0.8116154556650246,0.8116154556650246,,,7.75,7.75,44986.25,44986.25,40166.25,4820.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_eda,0.7,4,3,3/4,0.75,4,4/4,1.0,3,1,0.75,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,9.5,6.0,2.25,1.0,0.25,-0.4757832630797657,-0.48824443416646207,0.05091123590148744,0.7071773107035524,0.5897075316369759,0.47993335391558084,0.8549743638196019,0.8556056702374437,0.8549743638196019,0.8549743638196019,0.8574995894909688,-0.0025252256713669263,7.333333333333333,7.5,45791.75,44296.666666666664,40178.0,5613.75
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_feature_engineering,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,5.5,4.75,2.0,1.0,0.25,-0.4987598039311299,-0.49868160439548986,0.041710594193990404,0.49058055918270793,0.4913177356576023,0.39320014552521815,0.8542099489795918,0.8542099489795918,0.8542099489795918,0.8542099489795918,,,7.75,7.75,45530.25,45530.25,40554.75,4975.5
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,9.0,1.0,0.65,0.0,-0.4870466975533301,-0.4877573224803303,0.04095884975022105,0.6009984331377813,0.5942994678003226,0.3861135520493939,0.7544844322344322,0.7544844322344322,0.7544844322344322,0.7544844322344322,,,8.0,8.0,17915.5,17915.5,8005.0,9910.5
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0.7,4,4,4/4,1.0,4,4/4,1.0,4,0,1.0,0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,4.5,4.25,1.25,0.7375,1.0,-0.500236785898285,-0.4945353351342617,0.036043224298855966,0.4766572493942521,0.5304040567327534,0.3397746139408906,0.7148250915750916,0.7148250915750916,0.7148250915750916,0.7148250915750916,,,4.0,4.0,9682.0,9682.0,3935.0,5747.0
