model,task_id,regime,temperature,n_episodes_with_validation,mean_n_validations,mean_val_first,mean_val_last,mean_val_delta,mean_val_improvement,frac_episodes_improved
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0.7,4,5.0,-0.51,-0.4953,0.0147,28.7146,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,0.7,4,5.75,-0.4991,-0.47304,0.02605,33.8524,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0.7,4,6.0,-0.51,-0.49636,0.01364,32.60688,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0.7,4,6.0,-0.49445,-0.48148,0.01296,29.18341,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0.7,4,6.25,-0.51,-0.47347,0.03652,26.25188,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0.7,4,5.25,-0.4844,-0.46971,0.0147,35.12212,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_eda,0.7,4,6.0,-0.51,-0.4937,0.0163,35.69961,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_feature_engineering,0.7,4,4.75,-0.4986,-0.48391,0.0147,29.65882,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0.7,4,9.0,-0.51046,-0.45784,0.05262,0.0,0.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0.7,4,4.25,-0.49445,-0.47111,0.02334,7.45605,0.5
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,red_team_vs_validators,0.7,4,4.75,-0.4882,-0.47423,0.01397,20.76292,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_disclosed_criteria,0.7,4,4.75,-0.4991,-0.49195,0.00714,30.01957,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_hidden_hints,0.7,4,5.75,-0.51,-0.48741,0.02258,29.45476,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,0.7,4,2.0,-0.50827,-0.50827,0.0,0.0,0.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,0.7,4,6.0,-0.49297,-0.45714,0.03583,0.00314,0.5
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_stage_iterative,0.7,4,5.75,0.90374,0.92298,0.01925,0.01925,0.75
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_eda,0.7,4,6.25,0.91463,0.92372,0.00909,0.00909,0.75
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_feature_engineering,0.7,4,6.0,0.92402,0.92762,0.0036,0.0036,0.5
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_plan,0.7,4,5.75,0.91979,0.92613,0.00633,0.00633,0.75
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_compact_feedback,0.7,4,3.75,0.92264,0.92653,0.00388,0.00388,0.25
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_iterative,0.7,4,6.75,0.8875,0.93079,0.04328,0.04328,1.0
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_eda,0.7,4,5.5,0.91824,0.92458,0.00635,0.00635,0.75
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_feature_engineering,0.7,4,5.0,0.9126,0.91424,0.00164,0.00164,0.5
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_call_matched_upper_bound,0.7,4,8.0,0.91804,0.9248,0.00677,0.00677,0.75
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_from_scratch,0.7,4,4.75,0.92049,0.92467,0.00418,0.00418,0.75
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,red_team_vs_validators,0.7,4,3.5,0.91854,0.92758,0.00904,0.00904,0.25
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_disclosed_criteria,0.7,4,3.5,0.91745,0.91837,0.00092,0.00092,0.25
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_hidden_hints,0.7,4,4.0,0.92199,0.92199,0.0,0.0,0.0
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,single_shot,0.7,4,2.0,0.9218,0.9218,0.0,0.0,0.0
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,unstructured_agent,0.7,4,6.75,0.9106,0.9271,0.01651,0.01651,0.75
