model,task_id,regime,temperature,final_reward_performance_contribution,final_reward_plan_contribution,final_reward_code_quality_contribution,final_reward_weighted,final_reward
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0.7,0.55,0.15,0.2753,0.9753,0.7473
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,0.7,0.55,0.15,0.2752,0.9752,0.6511
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0.7,0.55,0.15,0.2789,0.9789,0.8695
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0.7,0.55,0.15,0.2745,0.9745,0.5959
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0.7,0.55,0.15,0.2803,0.9803,0.8726
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0.7,0.55,0.15,0.2779,0.9779,0.8116
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_eda,0.7,0.55,0.15,0.2799,0.9799,0.8556
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_feature_engineering,0.7,0.55,0.15,0.2816,0.9816,0.8542
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0.7,0.55,0.15,0.2838,0.9838,0.7545
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0.7,0.55,0.15,0.2805,0.9805,0.7148
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,red_team_vs_validators,0.7,0.55,0.15,0.2755,0.9755,0.8131
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_disclosed_criteria,0.7,0.55,0.15,0.2778,0.9778,0.8265
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_hidden_hints,0.7,0.55,0.15,0.277,0.977,0.7601
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,0.7,0.55,0.15,0.2832,0.9832,0.771
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,0.7,0.55,0.15,0.2803,0.9803,0.8233
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_stage_iterative,0.7,0.5455,0.15,0.2798,0.9753,0.6824
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_eda,0.7,0.5414,0.15,0.2811,0.9725,0.6792
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_feature_engineering,0.7,0.5419,0.15,0.2811,0.9731,0.7365
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_plan,0.7,0.5463,0.15,0.2808,0.977,0.6491
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_compact_feedback,0.7,0.5433,0.15,0.283,0.9762,0.7531
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_iterative,0.7,0.5412,0.15,0.2825,0.9737,0.7122
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_eda,0.7,0.5488,0.15,0.2792,0.9781,0.698
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_feature_engineering,0.7,0.5356,0.15,0.2804,0.966,0.7103
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_call_matched_upper_bound,0.7,0.5435,0.15,0.2824,0.9758,0.6319
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_from_scratch,0.7,0.5395,0.15,0.2825,0.972,0.6406
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,red_team_vs_validators,0.7,0.5496,0.15,0.2816,0.9812,0.7327
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_disclosed_criteria,0.7,0.5483,0.15,0.2822,0.9805,0.7329
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_hidden_hints,0.7,0.5484,0.15,0.2813,0.9797,0.7182
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,single_shot,0.7,0.5485,0.15,0.2826,0.9811,0.6622
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,unstructured_agent,0.7,0.5428,0.15,0.285,0.9778,0.7731
