model,task_id,regime,temperature,slope_reward_performance_contribution,slope_reward_plan_contribution,slope_reward_code_quality_contribution,slope_reward_weighted,slope_reward
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0.7,0.0,0.0,-0.00649,-0.00649,-0.04286
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,0.7,0.0,0.0,-0.00499,-0.00499,-0.03086
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0.7,0.0,0.0,-0.00412,-0.00412,-0.0169
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0.7,0.0,0.0,-0.00642,-0.00642,-0.03988
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0.7,0.0,0.0,-0.00532,-0.00532,-0.02412
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0.7,0.0,0.0,-0.0051,-0.0051,-0.02132
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_eda,0.7,0.0,0.0,-0.003,-0.003,-0.01646
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_feature_engineering,0.7,0.0,0.0,-0.00657,-0.00657,-0.03663
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0.7,0.0,0.0,-0.00032,-0.00032,0.00115
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0.7,0.0,0.0,-0.00182,-0.00182,-0.0003
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,red_team_vs_validators,0.7,0.0,0.0,-0.00374,-0.00374,-0.02104
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_disclosed_criteria,0.7,0.0,0.0,-0.006,-0.006,-0.02836
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_hidden_hints,0.7,0.0,0.0,-0.00493,-0.00493,-0.03005
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,0.7,,,,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,0.7,0.0,0.00938,-0.00305,0.00632,0.00283
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_stage_iterative,0.7,0.0,0.0,-0.00567,-0.00567,-0.0451
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_eda,0.7,0.0,0.0,-0.00553,-0.00553,-0.03079
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_feature_engineering,0.7,0.0,0.0,-0.00432,-0.00432,-0.03809
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_plan,0.7,0.0,0.0,-0.00653,-0.00653,-0.03603
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_compact_feedback,0.7,0.0,0.0,-0.00895,-0.00895,-0.08759
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_iterative,0.7,0.0,0.0,-0.00509,-0.00509,-0.04511
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_eda,0.7,0.0,0.0,-0.0046,-0.0046,-0.06168
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_feature_engineering,0.7,0.0,0.0,-0.00791,-0.00791,-0.06843
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_call_matched_upper_bound,0.7,0.0,0.0,0.00134,0.00134,0.00212
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_from_scratch,0.7,0.0,0.0,-0.00085,-0.00085,0.00127
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,red_team_vs_validators,0.7,0.0,0.0,-0.00651,-0.00651,-0.07625
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_disclosed_criteria,0.7,0.0,0.0,-0.00646,-0.00646,-0.06799
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_hidden_hints,0.7,0.0,0.0,-0.00798,-0.00798,-0.08053
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,single_shot,0.7,,,,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,unstructured_agent,0.7,0.0,0.01924,-0.00018,0.01906,-0.00816
