scope,scope_value,pair,n,pearson_r,pearson_p,spearman_r,spearman_p
pooled,ALL,reward_vs_hidden_test_metric,114,-0.40732,1e-05,-0.47924,0.0
pooled,ALL,reward_vs_task_normalized_hidden_test_metric,114,-0.08435,0.37227,-0.0488,0.60613
pooled,ALL,reward_growth_vs_val_improvement,112,0.19249,0.04202,0.28811,0.00207
pooled,ALL,perf_contribution_alone_vs_metric__definitional,114,-0.36162,8e-05,-0.24517,0.00856
pooled,ALL,perf_contribution_alone_vs_task_normalized_metric__definitional,114,0.2896,0.00178,0.29492,0.00145
pooled,ALL,plan_plus_code_alone_vs_metric,114,0.37499,4e-05,0.25485,0.00621
pooled,ALL,plan_plus_code_alone_vs_task_normalized_metric,114,0.07132,0.45083,0.08036,0.39536
pooled,ALL,reward_minus_perf_vs_metric,114,-0.38895,2e-05,-0.49316,0.0
pooled,ALL,reward_minus_perf_vs_task_normalized_metric,114,-0.10574,0.26284,-0.08352,0.377
task,synthetic_regression_known_dgp,reward_vs_hidden_test_metric,57,-0.03995,0.76794,-0.03685,0.78552
task,synthetic_regression_known_dgp,reward_vs_task_normalized_hidden_test_metric,57,-0.03995,0.76794,-0.03685,0.78552
task,synthetic_regression_known_dgp,reward_growth_vs_val_improvement,56,0.27615,0.03938,0.27952,0.03695
task,synthetic_regression_known_dgp,perf_contribution_alone_vs_metric__definitional,57,,,,
task,synthetic_regression_known_dgp,perf_contribution_alone_vs_task_normalized_metric__definitional,57,,,,
task,synthetic_regression_known_dgp,plan_plus_code_alone_vs_metric,57,-0.00209,0.98771,-0.0183,0.89251
task,synthetic_regression_known_dgp,plan_plus_code_alone_vs_task_normalized_metric,57,-0.00209,0.98771,-0.0183,0.89251
task,synthetic_regression_known_dgp,reward_minus_perf_vs_metric,57,-0.03995,0.76794,-0.03685,0.78552
task,synthetic_regression_known_dgp,reward_minus_perf_vs_task_normalized_metric,57,-0.03995,0.76794,-0.03685,0.78552
task,tml_bank_customer_churn_ict_u_ai,reward_vs_hidden_test_metric,57,0.30801,0.01976,0.26651,0.04508
task,tml_bank_customer_churn_ict_u_ai,reward_vs_task_normalized_hidden_test_metric,57,0.30801,0.01976,0.26651,0.04508
task,tml_bank_customer_churn_ict_u_ai,reward_growth_vs_val_improvement,56,0.18207,0.17927,0.28147,0.03559
task,tml_bank_customer_churn_ict_u_ai,perf_contribution_alone_vs_metric__definitional,57,0.8919,0.0,0.94574,0.0
task,tml_bank_customer_churn_ict_u_ai,perf_contribution_alone_vs_task_normalized_metric__definitional,57,0.8919,0.0,0.94574,0.0
task,tml_bank_customer_churn_ict_u_ai,plan_plus_code_alone_vs_metric,57,-0.1432,0.28792,-0.04319,0.74974
task,tml_bank_customer_churn_ict_u_ai,plan_plus_code_alone_vs_task_normalized_metric,57,-0.1432,0.28792,-0.04319,0.74974
task,tml_bank_customer_churn_ict_u_ai,reward_minus_perf_vs_metric,57,0.1667,0.2152,0.10586,0.43321
task,tml_bank_customer_churn_ict_u_ai,reward_minus_perf_vs_task_normalized_metric,57,0.1667,0.2152,0.10586,0.43321
model,deepseek/deepseek-v4-flash,reward_vs_hidden_test_metric,114,-0.40732,1e-05,-0.47924,0.0
model,deepseek/deepseek-v4-flash,reward_vs_task_normalized_hidden_test_metric,114,-0.08435,0.37227,-0.0488,0.60613
model,deepseek/deepseek-v4-flash,reward_growth_vs_val_improvement,112,0.19249,0.04202,0.28811,0.00207
model,deepseek/deepseek-v4-flash,perf_contribution_alone_vs_metric__definitional,114,-0.36162,8e-05,-0.24517,0.00856
model,deepseek/deepseek-v4-flash,perf_contribution_alone_vs_task_normalized_metric__definitional,114,0.2896,0.00178,0.29492,0.00145
model,deepseek/deepseek-v4-flash,plan_plus_code_alone_vs_metric,114,0.37499,4e-05,0.25485,0.00621
model,deepseek/deepseek-v4-flash,plan_plus_code_alone_vs_task_normalized_metric,114,0.07132,0.45083,0.08036,0.39536
model,deepseek/deepseek-v4-flash,reward_minus_perf_vs_metric,114,-0.38895,2e-05,-0.49316,0.0
model,deepseek/deepseek-v4-flash,reward_minus_perf_vs_task_normalized_metric,114,-0.10574,0.26284,-0.08352,0.377
regime,fixed_stage_iterative,reward_vs_hidden_test_metric,8,-0.2388,0.56899,-0.503,0.20388
