model,task_id,temperature,regime,reference,n_pairs,mean_delta,wilcoxon_p,bootstrap_ci_low,bootstrap_ci_high
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,fixed_stage_iterative,single_shot,4,0.0073,,0.0,0.0171
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,fixed_without_eda,single_shot,4,0.0184,,0.0062,0.0254
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,fixed_without_feature_engineering,single_shot,4,0.0049,,-0.0001,0.0147
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,fixed_without_plan,single_shot,3,0.0141,,0.0,0.0228
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,flexible_compact_feedback,single_shot,4,0.0196,,0.0069,0.0295
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,flexible_iterative,single_shot,4,0.0192,,0.0057,0.0292
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,flexible_without_eda,single_shot,3,0.0104,,0.0,0.0311
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,flexible_without_feature_engineering,single_shot,4,0.0129,,0.0,0.0259
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,n_restarts_call_matched_upper_bound,single_shot,4,0.0239,,0.0205,0.0276
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,n_restarts_from_scratch,single_shot,4,0.0171,,0.0057,0.0244
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,red_team_vs_validators,single_shot,4,0.0218,,0.0078,0.0312
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,reward_maximizer_disclosed_criteria,single_shot,4,0.0122,,0.0,0.0244
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,reward_maximizer_hidden_hints,single_shot,4,0.0126,,0.0,0.0252
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,0.7,unstructured_agent,single_shot,3,0.0255,,0.0195,0.0311
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,fixed_stage_iterative,single_shot,4,0.0002,,-0.0071,0.0083
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,fixed_without_eda,single_shot,4,-0.0027,,-0.011,0.0075
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,fixed_without_feature_engineering,single_shot,4,-0.0019,,-0.0148,0.0081
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,fixed_without_plan,single_shot,4,-0.0017,,-0.0043,0.0008
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,flexible_compact_feedback,single_shot,4,-0.0044,,-0.0112,0.0001
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,flexible_iterative,single_shot,4,-0.0075,,-0.013,-0.0019
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,flexible_without_eda,single_shot,3,0.0012,,-0.0009,0.0024
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,flexible_without_feature_engineering,single_shot,4,-0.0104,,-0.0344,0.0027
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,n_restarts_call_matched_upper_bound,single_shot,4,-0.0008,,-0.0116,0.0097
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,n_restarts_from_scratch,single_shot,4,-0.0055,,-0.0139,0.0028
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,red_team_vs_validators,single_shot,4,0.0029,,0.0012,0.0054
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,reward_maximizer_disclosed_criteria,single_shot,4,0.0005,,-0.0013,0.0029
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,reward_maximizer_hidden_hints,single_shot,4,0.0019,,-0.0007,0.0033
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,0.7,unstructured_agent,single_shot,2,-0.0014,,-0.0019,-0.0009
