model,task_id,regime,temperature,n_episodes,n_agent_final_submit,n_auto_finalized_token_exhaustion,n_agent_violated_protocol,n_forced_or_premature,n_no_hidden_metric,share_honest,mean_hidden_test_honest,mean_hidden_test_rescued,delta_hidden_honest_minus_rescued
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.5043,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4932,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.5068,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0.7,4.0,3.0,0.0,1.0,0.0,0.0,0.75,-0.4845,-0.5507,0.0662
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.492,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4924,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_eda,0.7,4.0,3.0,0.0,0.0,1.0,0.0,0.75,-0.4882,-0.5464,0.0582
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_without_feature_engineering,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4987,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4878,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4945,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,red_team_vs_validators,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4898,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_disclosed_criteria,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.4994,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,reward_maximizer_hidden_hints,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.499,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-0.5116,,
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,0.7,4.0,3.0,0.0,1.0,0.0,0.0,0.75,-0.498,-0.453,-0.0451
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_stage_iterative,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.928,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_eda,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9251,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_feature_engineering,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9258,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,fixed_without_plan,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9261,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_compact_feedback,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9234,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_iterative,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9203,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_eda,0.7,4.0,3.0,0.0,1.0,0.0,0.0,0.75,0.9279,0.9319,-0.0041
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,flexible_without_feature_engineering,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9174,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_call_matched_upper_bound,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.927,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,n_restarts_from_scratch,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9222,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,red_team_vs_validators,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9306,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_disclosed_criteria,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9283,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,reward_maximizer_hidden_hints,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9296,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,single_shot,0.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9278,,
deepseek/deepseek-v4-flash,tml_bank_customer_churn_ict_u_ai,unstructured_agent,0.7,4.0,2.0,0.0,2.0,0.0,0.0,0.5,0.9273,0.9202,0.0071
